State Names ,Data Science ,Web Technology ,AI ,Cybersecurity ,Automation ,Cloud ,Business / IT Services ,IT Networking ,R & D
Andhra Pradesh,62,239,30,45,109,112,778,357,147
Arunachal Pradesh,262,2,0,1,1,1,16,0,3
Assam,7,28,4,6,22,16,146,0,59
Bihar,21,169,4,11,15,11,297,0,102
Chhattisgarh,21,75,2,6,17,18,196,0,66
Goa,18,140,14,21,54,55,244,0,85
Gujarat,434,333,209,294,1050,1163,6763,77,1877
Haryana,1547,3359,1079,897,2765,3439,10512,39,2567
Himachal Pradesh,13,26,0,13,17,3,135,0,49
Jharkhand,20,43,8,15,16,14,232,0,135
Karnataka,5600,9873,4350,3394,13110,18621,42891,460,6739
Kerala,264,1232,981,181,635,861,3194,54,725
Madhya Pradesh,126,650,51,70,190,187,1857,6,680
Maharashtra,3172,4691,1121,2220,7528,9842,28611,0,5564
Manipur,1710,3,2,188,726,0,21,0,4
Meghalaya,3,3468,0,4,4,4,28,0,5
Mizoram,358,1044,2,1,1,1,14,0,3
Nagaland,151,1,0,0,0,0,15,0,3
Odisha,69,306,34,33,106,122,722,0,176
Punjab,252,245,133,164,543,487,3615,37,919
Rajasthan,180,914,64,85,281,352,2057,6,476
Sikkim,832,19,0,1,0,0,19,0,6
Tamil Nadu,1298,4002,981,970,3403,4544,16284,1159,2221
Telangana,223,4474,1354,0,4571,0,19317,0,2545
Tripura,1,3,1,0,0,0,26,0,6
Uttar Pradesh,640,282,459,515,1725,2191,8321,31,1979
Uttarakhand,2,783,104,0,0,0,1,0,0
West Bengal,305,1667,204,237,669,1103,4860,117,693